Purchaser State,Purchaser City,Purchaser Zip,Booking Window,# of Guest Days
Other,FLOWERY GULLY,7270,15+ Days,3
New Jersey,JERSEY CITY,7302,04-7 Days,7
New Jersey,JERSEY CITY,7302,08-14 Days,2
New Jersey,JERSEY CITY,7302,15+ Days,3
New Jersey,JERSEY CITY,7306,15+ Days,9
Massachusetts,JERSEY CITY,7310,08-14 Days,1
New Jersey,JERSEY CITY,7310,15+ Days,6
New Jersey,KINNELON,7405,01 Day,2
New Jersey,FAIR LAWN,7410,04-7 Days,3
New Jersey,FRANKLIN,7416,04-7 Days,2
New Jersey,WOODLAND PARK,7424,04-7 Days,1
New Jersey,MAHWAH,7430,04-7 Days,1
New Jersey,MAHWAH,7430,15+ Days,2
New Jersey,MIDLAND PARK,7432,04-7 Days,2
New Jersey,MIDLAND PARK,7432,08-14 Days,3
New Jersey,OAKLAND,7436,04-7 Days,2
New Jersey,OAKLAND,7436,08-14 Days,4
New Jersey,OAKLAND,7436,15+ Days,2
New Jersey,RIDGEWOOD,7450,03 Days,2
New Jersey,RIDGEWOOD,7450,15+ Days,6
New Jersey,RINGWOOD,7456,03 Days,3
New Jersey,NORTH HALEDON,7508,08-14 Days,2
New Jersey,TOTOWA,7512,08-14 Days,5
New Jersey,TOTOWA,7512,15+ Days,4
New Jersey,HACKENSACK,7601,08-14 Days,2
New Jersey,BOGOTA,7603,02 Days,1
New Jersey,BOGOTA,7603,03 Days,2
New Jersey,BOGOTA,7603,15+ Days,1
New Jersey,LEONIA,7605,03 Days,2
New Jersey,BERGENFIELD,7621,08-14 Days,8
New Jersey,CRESSKILL,7626,03 Days,1
New Jersey,CRESSKILL,7626,08-14 Days,3
New Jersey,DEMAREST,7627,08-14 Days,6
New Jersey,CLIFFSIDE PARK,7631,02 Days,9
New Jersey,ENGLEWOOD,7631,02 Days,4
New Jersey,ENGLEWOOD,7631,15+ Days,3
New Jersey,HAWORTH,7641,02 Days,8
New Jersey,ORADELL,7649,08-14 Days,1
New Jersey,SADDLE BROOK,7663,08-14 Days,1
New Jersey,SADDLE BROOK,7663,15+ Days,1
New Jersey,TEANECK,7666,04-7 Days,1
New Jersey,WESTWOOD,7675,15+ Days,6
New Jersey,WASHINGTON TWP.,7676,03 Days,1
New Jersey,WASHINGTON TWP.,7676,04-7 Days,1
New Jersey,WOODCLIFF LAKE,7677,08-14 Days,3
New Jersey,FAIR HAVEN,7704,08-14 Days,9
New Jersey,ASBURY PARK,7712,02 Days,1
New Jersey,OCEAN,7712,02 Days,1
New Jersey,WALL,7719,02 Days,6
New Jersey,COLTS NECK,7722,02 Days,6
New Jersey,COLTS NECK,7722,08-14 Days,6
New Jersey,DEAL,7723,08-14 Days,2
New Jersey,EATONTOWN,7724,03 Days,12
New Jersey,EATONTOWN ,7724,08-14 Days,2
New Jersey,EATONTOWN ,7724,15+ Days,15
New Jersey,HAZLET,7730,15+ Days,1
New Jersey,HOLMDEL,7733,08-14 Days,8
New Jersey,HOLMDEL,7733,15+ Days,2
New Jersey,MORGANVILLE,7751,04-7 Days,1
New Jersey,NEPTUNE,7753,15+ Days,4
New Jersey,OAKHURST,7755,08-14 Days,3
New Jersey,OCEAN GROVE,7756,15+ Days,6
New Jersey,RUMSON,7760,15+ Days,4
New Jersey,SPRING LAKE HGTS,7762,15+ Days,9
New Jersey,BUDD LAKE,7828,08-14 Days,3
New Jersey,CALIFON,7830,15+ Days,3
New Jersey,HACKETTSTOWN,7840,15+ Days,4
New Jersey,LEDGEWOOD,7852,08-14 Days,3
New Jersey,ROCKAWAY,7866,04-7 Days,3
New Jersey,ROCKAWAY,7866,08-14 Days,12
New Jersey,RANDOLPH,7869,15+ Days,6
New Jersey,SPARTA,7871,08-14 Days,6
New Jersey,WASHINGTON,7882,04-7 Days,2
New Jersey,SUMMIT,7901,04-7 Days,4
New Jersey,BASKING RIDGE,7920,02 Days,2
