ZIP CODE,STATE,MSA Name
46247,IN,"Indianapolis-Carmel, IN MSA"
46249,IN,"Indianapolis-Carmel, IN MSA"
46250,IN,"Indianapolis-Carmel, IN MSA"
46251,IN,"Indianapolis-Carmel, IN MSA"
46253,IN,"Indianapolis-Carmel, IN MSA"
46254,IN,"Indianapolis-Carmel, IN MSA"
46255,IN,"Indianapolis-Carmel, IN MSA"
46256,IN,"Indianapolis-Carmel, IN MSA"
46259,IN,"Indianapolis-Carmel, IN MSA"
46260,IN,"Indianapolis-Carmel, IN MSA"
46262,IN,"Indianapolis-Carmel, IN MSA"
46266,IN,"Indianapolis-Carmel, IN MSA"
46268,IN,"Indianapolis-Carmel, IN MSA"
46274,IN,"Indianapolis-Carmel, IN MSA"
46275,IN,"Indianapolis-Carmel, IN MSA"
46277,IN,"Indianapolis-Carmel, IN MSA"
46278,IN,"Indianapolis-Carmel, IN MSA"
46280,IN,"Indianapolis-Carmel, IN MSA"
46282,IN,"Indianapolis-Carmel, IN MSA"
46283,IN,"Indianapolis-Carmel, IN MSA"
46285,IN,"Indianapolis-Carmel, IN MSA"
46290,IN,"Indianapolis-Carmel, IN MSA"
46291,IN,"Indianapolis-Carmel, IN MSA"
46295,IN,"Indianapolis-Carmel, IN MSA"
46296,IN,"Indianapolis-Carmel, IN MSA"
46298,IN,"Indianapolis-Carmel, IN MSA"
46301,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46302,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46303,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46304,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46307,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46308,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46310,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46311,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46312,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46319,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46320,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46321,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46322,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46323,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46324,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46325,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46327,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46340,IN,"Michigan City-La Porte, IN MSA"
46341,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46342,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46345,IN,"Michigan City-La Porte, IN MSA"
46346,IN,"Michigan City-La Porte, IN MSA"
46347,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46348,IN,"Michigan City-La Porte, IN MSA"
46349,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46350,IN,"Michigan City-La Porte, IN MSA"
46352,IN,"Michigan City-La Porte, IN MSA"
46355,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46356,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46360,IN,"Michigan City-La Porte, IN MSA"
46361,IN,"Michigan City-La Porte, IN MSA"
46365,IN,"Michigan City-La Porte, IN MSA"
46366,IN,IN NONMETROPOLITAN AREA
46368,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46371,IN,"Michigan City-La Porte, IN MSA"
46372,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46373,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46374,IN,IN NONMETROPOLITAN AREA
46375,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46376,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46377,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46379,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46380,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46381,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46382,IN,"Michigan City-La Porte, IN MSA"
46383,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46384,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46385,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46390,IN,"Michigan City-La Porte, IN MSA"
46391,IN,"Michigan City-La Porte, IN MSA"
46392,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46393,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46394,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46401,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46402,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46403,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46404,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46405,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46406,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46407,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46408,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46409,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46410,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46411,IN,"Chicago-Naperville-Joliet, IL-IN-WI MSA"
46501,IN,IN NONMETROPOLITAN AREA
46502,IN,IN NONMETROPOLITAN AREA
46504,IN,IN NONMETROPOLITAN AREA
46506,IN,IN NONMETROPOLITAN AREA
46507,IN,"Elkhart-Goshen, IN MSA"
46508,IN,IN NONMETROPOLITAN AREA
46510,IN,IN NONMETROPOLITAN AREA
46511,IN,IN NONMETROPOLITAN AREA
46513,IN,IN NONMETROPOLITAN AREA
46514,IN,"Elkhart-Goshen, IN MSA"
46515,IN,"Elkhart-Goshen, IN MSA"
46516,IN,"Elkhart-Goshen, IN MSA"
46517,IN,"Elkhart-Goshen, IN MSA"
46524,IN,IN NONMETROPOLITAN AREA
46526,IN,"Elkhart-Goshen, IN MSA"
46527,IN,"Elkhart-Goshen, IN MSA"
46528,IN,"Elkhart-Goshen, IN MSA"
46530,IN,"South Bend-Mishawaka, IN-MI MSA"
46531,IN,IN NONMETROPOLITAN AREA
46532,IN,IN NONMETROPOLITAN AREA
46534,IN,IN NONMETROPOLITAN AREA
46536,IN,"South Bend-Mishawaka, IN-MI MSA"
46537,IN,IN NONMETROPOLITAN AREA
46538,IN,IN NONMETROPOLITAN AREA
46539,IN,IN NONMETROPOLITAN AREA
46540,IN,"Elkhart-Goshen, IN MSA"
46542,IN,IN NONMETROPOLITAN AREA
46543,IN,"Elkhart-Goshen, IN MSA"
46544,IN,"South Bend-Mishawaka, IN-MI MSA"
46545,IN,"South Bend-Mishawaka, IN-MI MSA"
46546,IN,"South Bend-Mishawaka, IN-MI MSA"
46550,IN,"Elkhart-Goshen, IN MSA"
46552,IN,"South Bend-Mishawaka, IN-MI MSA"
46553,IN,"Elkhart-Goshen, IN MSA"
46554,IN,"South Bend-Mishawaka, IN-MI MSA"
46555,IN,IN NONMETROPOLITAN AREA
46556,IN,"South Bend-Mishawaka, IN-MI MSA"
46561,IN,"South Bend-Mishawaka, IN-MI MSA"
46562,IN,IN NONMETROPOLITAN AREA
46563,IN,IN NONMETROPOLITAN AREA
46565,IN,IN NONMETROPOLITAN AREA
46566,IN,IN NONMETROPOLITAN AREA
46567,IN,IN NONMETROPOLITAN AREA
46570,IN,IN NONMETROPOLITAN AREA
46571,IN,IN NONMETROPOLITAN AREA
46572,IN,IN NONMETROPOLITAN AREA
46573,IN,"Elkhart-Goshen, IN MSA"
46574,IN,"South Bend-Mishawaka, IN-MI MSA"
46580,IN,IN NONMETROPOLITAN AREA
46581,IN,IN NONMETROPOLITAN AREA
46582,IN,IN NONMETROPOLITAN AREA
46590,IN,IN NONMETROPOLITAN AREA
46595,IN,"South Bend-Mishawaka, IN-MI MSA"
46601,IN,"South Bend-Mishawaka, IN-MI MSA"
46604,IN,"South Bend-Mishawaka, IN-MI MSA"
46612,IN,"South Bend-Mishawaka, IN-MI MSA"
46613,IN,"South Bend-Mishawaka, IN-MI MSA"
46614,IN,"South Bend-Mishawaka, IN-MI MSA"
46615,IN,"South Bend-Mishawaka, IN-MI MSA"
46616,IN,"South Bend-Mishawaka, IN-MI MSA"
46617,IN,"South Bend-Mishawaka, IN-MI MSA"
46619,IN,"South Bend-Mishawaka, IN-MI MSA"
46620,IN,"South Bend-Mishawaka, IN-MI MSA"
46624,IN,"South Bend-Mishawaka, IN-MI MSA"
46626,IN,"South Bend-Mishawaka, IN-MI MSA"
46628,IN,"South Bend-Mishawaka, IN-MI MSA"
46629,IN,"South Bend-Mishawaka, IN-MI MSA"
46634,IN,"South Bend-Mishawaka, IN-MI MSA"
46635,IN,"South Bend-Mishawaka, IN-MI MSA"
46637,IN,"South Bend-Mishawaka, IN-MI MSA"
46660,IN,"South Bend-Mishawaka, IN-MI MSA"
46680,IN,"South Bend-Mishawaka, IN-MI MSA"
46699,IN,"South Bend-Mishawaka, IN-MI MSA"
46701,IN,IN NONMETROPOLITAN AREA
46702,IN,IN NONMETROPOLITAN AREA
46703,IN,IN NONMETROPOLITAN AREA
46704,IN,"Fort Wayne, IN MSA"
46705,IN,IN NONMETROPOLITAN AREA
46706,IN,IN NONMETROPOLITAN AREA
46710,IN,IN NONMETROPOLITAN AREA
46711,IN,IN NONMETROPOLITAN AREA
46713,IN,IN NONMETROPOLITAN AREA
46714,IN,"Fort Wayne, IN MSA"
46720,IN,IN NONMETROPOLITAN AREA
46721,IN,IN NONMETROPOLITAN AREA
46723,IN,"Fort Wayne, IN MSA"
46725,IN,"Fort Wayne, IN MSA"
46730,IN,IN NONMETROPOLITAN AREA
46731,IN,"Fort Wayne, IN MSA"
46732,IN,IN NONMETROPOLITAN AREA
46733,IN,IN NONMETROPOLITAN AREA
46737,IN,IN NONMETROPOLITAN AREA
46738,IN,IN NONMETROPOLITAN AREA
